Louisiana,7.46
Washington,7.68
Oklahoma,7.83
Idaho,8.08
Arkansas,8.13
Wyoming,8.19
Nevada,8.38
Kentucky,8.42
Texas,8.43
Iowa,8.55
Mississippi,8.67
Utah,8.72
Oregon,8.83
Montana,8.84
North Dakota,8.94
West Virginia,8.98
Nebraska,9.05
Virginia,9.09
New Mexico,9.12
North Carolina,9.2
Indiana,9.22
Tennessee,9.23
Illinois,9.38
Alabama,9.56
Georgia,9.59
Missouri,9.74
South Carolina,9.79
South Dakota,9.83
Colorado,9.83
Ohio,9.84
Florida,9.91
Minnesota,9.99
Pennsylvania,10.19
USA-General,10.27
Arizona,10.33
Kansas,10.49
Wisconsin,10.67
Michigan,11.05
Delaware,11.09
District of Columbia,11.73
Maryland,12.21
Maine,12.8
New Jersey,13.38
Vermont,14.46
New York,14.47
California,15.23
New Hampshire,15.66
Rhode Island,16.28
Massachusetts,16.48
Connecticut,17.24
Alaska,17.93
Hawaii,23.87